Tanggal,Provinsi,Kasus Aktif
5/17/2022,Jawa Barat,29782
5/18/2022,Jawa Barat,29255
5/19/2022,Jawa Barat,28944
5/20/2022,Jawa Barat,28938
5/21/2022,Jawa Barat,28523
5/22/2022,Jawa Barat,28866
5/23/2022,Jawa Barat,29117
5/24/2022,Jawa Barat,29068
5/25/2022,Jawa Barat,29057
5/26/2022,Jawa Barat,29045
5/27/2022,Jawa Barat,29343
5/28/2022,Jawa Barat,29610
5/29/2022,Jawa Barat,29637
5/30/2022,Jawa Barat,29785
5/31/2022,Jawa Barat,29877
6/1/2022,Jawa Barat,28718
6/2/2022,Jawa Barat,26749
6/3/2022,Jawa Barat,20258
6/4/2022,Jawa Barat,19450
6/5/2022,Jawa Barat,19725
6/6/2022,Jawa Barat,20225
6/7/2022,Jawa Barat,21019
6/8/2022,Jawa Barat,21070
6/9/2022,Jawa Barat,21772
6/10/2022,Jawa Barat,21827
6/11/2022,Jawa Barat,21654
6/12/2022,Jawa Barat,21750
6/13/2022,Jawa Barat,22271
6/14/2022,Jawa Barat,22034
6/15/2022,Jawa Barat,22529
6/16/2022,Jawa Barat,23602
6/17/2022,Jawa Barat,25289
6/18/2022,Jawa Barat,26739
6/19/2022,Jawa Barat,27782
6/20/2022,Jawa Barat,28756
6/21/2022,Jawa Barat,30202
6/22/2022,Jawa Barat,32571
6/23/2022,Jawa Barat,34413
6/24/2022,Jawa Barat,35717
6/25/2022,Jawa Barat,38219
6/26/2022,Jawa Barat,40736
6/27/2022,Jawa Barat,43436
6/28/2022,Jawa Barat,46961
6/29/2022,Jawa Barat,49617
6/30/2022,Jawa Barat,51825
7/1/2022,Jawa Barat,56655
7/2/2022,Jawa Barat,59965
7/3/2022,Jawa Barat,63045
7/4/2022,Jawa Barat,65330
7/5/2022,Jawa Barat,70596
7/6/2022,Jawa Barat,74263
7/7/2022,Jawa Barat,79082
7/8/2022,Jawa Barat,83459
7/9/2022,Jawa Barat,85748
7/10/2022,Jawa Barat,86511
7/11/2022,Jawa Barat,89363
7/12/2022,Jawa Barat,92681
7/13/2022,Jawa Barat,95559
7/14/2022,Jawa Barat,101742
7/15/2022,Jawa Barat,107580
7/16/2022,Jawa Barat,110834
7/17/2022,Jawa Barat,115257
7/18/2022,Jawa Barat,119048
7/19/2022,Jawa Barat,121035
7/20/2022,Jawa Barat,124826
7/21/2022,Jawa Barat,123795
7/22/2022,Jawa Barat,126865
7/23/2022,Jawa Barat,128759
7/24/2022,Jawa Barat,129522
7/25/2022,Jawa Barat,129560
7/26/2022,Jawa Barat,128847
7/27/2022,Jawa Barat,127787
7/28/2022,Jawa Barat,127881
7/29/2022,Jawa Barat,127345
7/30/2022,Jawa Barat,126732
7/31/2022,Jawa Barat,123826
8/1/2022,Jawa Barat,122965
8/2/2022,Jawa Barat,118967
8/3/2022,Jawa Barat,118075
8/4/2022,Jawa Barat,116549
8/5/2022,Jawa Barat,111462
8/6/2022,Jawa Barat,107907
8/7/2022,Jawa Barat,105913
8/8/2022,Jawa Barat,89300
8/9/2022,Jawa Barat,82802
8/10/2022,Jawa Barat,79033
8/11/2022,Jawa Barat,73967
8/12/2022,Jawa Barat,71226
8/13/2022,Jawa Barat,65365
8/14/2022,Jawa Barat,65000
8/15/2022,Jawa Barat,64154
8/16/2022,Jawa Barat,62027
8/17/2022,Jawa Barat,59686
8/18/2022,Jawa Barat,56337
8/19/2022,Jawa Barat,52684
8/20/2022,Jawa Barat,52087
8/21/2022,Jawa Barat,51837
8/22/2022,Jawa Barat,51140
8/23/2022,Jawa Barat,50984
8/24/2022,Jawa Barat,41673
8/25/2022,Jawa Barat,33381
8/26/2022,Jawa Barat,27706
8/27/2022,Jawa Barat,26468
8/28/2022,Jawa Barat,25743
8/29/2022,Jawa Barat,24802
8/30/2022,Jawa Barat,22598
8/31/2022,Jawa Barat,21401
9/1/2022,Jawa Barat,20823
9/2/2022,Jawa Barat,16724
9/3/2022,Jawa Barat,15132
9/4/2022,Jawa Barat,13066
9/5/2022,Jawa Barat,12608
9/6/2022,Jawa Barat,11135
9/7/2022,Jawa Barat,8812
9/8/2022,Jawa Barat,8325
9/9/2022,Jawa Barat,8117
9/10/2022,Jawa Barat,7719
9/11/2022,Jawa Barat,7862
9/12/2022,Jawa Barat,7447
9/13/2022,Jawa Barat,6945
9/14/2022,Jawa Barat,6609
9/15/2022,Jawa Barat,5983
9/16/2022,Jawa Barat,5565
9/17/2022,Jawa Barat,5506
9/18/2022,Jawa Barat,5308
9/19/2022,Jawa Barat,4850
9/20/2022,Jawa Barat,4504
9/21/2022,Jawa Barat,4215
9/22/2022,Jawa Barat,3986
9/23/2022,Jawa Barat,3843
9/24/2022,Jawa Barat,3719
9/25/2022,Jawa Barat,3691
9/26/2022,Jawa Barat,3546
9/27/2022,Jawa Barat,3260
9/28/2022,Jawa Barat,3220
9/29/2022,Jawa Barat,3017
9/30/2022,Jawa Barat,2879
3/21/2022,Jawa Tengah,11
3/22/2022,Jawa Tengah,12
3/23/2022,Jawa Tengah,12
3/24/2022,Jawa Tengah,16
3/25/2022,Jawa Tengah,34
3/26/2022,Jawa Tengah,34
3/27/2022,Jawa Tengah,37
3/28/2022,Jawa Tengah,48
3/29/2022,Jawa Tengah,56
3/30/2022,Jawa Tengah,74
3/31/2022,Jawa Tengah,86
4/1/2022,Jawa Tengah,97
4/2/2022,Jawa Tengah,97
4/3/2022,Jawa Tengah,85
4/4/2022,Jawa Tengah,91
4/5/2022,Jawa Tengah,88
4/6/2022,Jawa Tengah,96
4/7/2022,Jawa Tengah,97
4/8/2022,Jawa Tengah,104
4/9/2022,Jawa Tengah,104
4/10/2022,Jawa Tengah,104
4/11/2022,Jawa Tengah,104
4/12/2022,Jawa Tengah,156
4/13/2022,Jawa Tengah,159
4/14/2022,Jawa Tengah,233
4/15/2022,Jawa Tengah,246
4/16/2022,Jawa Tengah,254
4/17/2022,Jawa Tengah,227
4/18/2022,Jawa Tengah,244
4/19/2022,Jawa Tengah,254
4/20/2022,Jawa Tengah,256
4/21/2022,Jawa Tengah,354
4/22/2022,Jawa Tengah,372
4/23/2022,Jawa Tengah,431
4/24/2022,Jawa Tengah,463
4/25/2022,Jawa Tengah,509
4/26/2022,Jawa Tengah,519
4/27/2022,Jawa Tengah,520
4/28/2022,Jawa Tengah,535
4/29/2022,Jawa Tengah,551
4/30/2022,Jawa Tengah,563
5/1/2022,Jawa Tengah,574
5/2/2022,Jawa Tengah,593
5/3/2022,Jawa Tengah,602
5/4/2022,Jawa Tengah,624
5/5/2022,Jawa Tengah,655
5/6/2022,Jawa Tengah,682
5/7/2022,Jawa Tengah,695
5/8/2022,Jawa Tengah,707
5/9/2022,Jawa Tengah,720
5/10/2022,Jawa Tengah,739
5/11/2022,Jawa Tengah,685
5/12/2022,Jawa Tengah,694
5/13/2022,Jawa Tengah,728
5/14/2022,Jawa Tengah,771
5/15/2022,Jawa Tengah,805
5/16/2022,Jawa Tengah,823
5/17/2022,Jawa Tengah,840
5/18/2022,Jawa Tengah,843
5/19/2022,Jawa Tengah,853
5/20/2022,Jawa Tengah,869
5/21/2022,Jawa Tengah,892
5/22/2022,Jawa Tengah,909
5/23/2022,Jawa Tengah,963
5/24/2022,Jawa Tengah,980
5/25/2022,Jawa Tengah,981
5/26/2022,Jawa Tengah,970
5/27/2022,Jawa Tengah,981
5/28/2022,Jawa Tengah,990
5/29/2022,Jawa Tengah,944
5/30/2022,Jawa Tengah,941
5/31/2022,Jawa Tengah,972
6/1/2022,Jawa Tengah,977
6/2/2022,Jawa Tengah,991
6/3/2022,Jawa Tengah,1013
6/4/2022,Jawa Tengah,1036
6/5/2022,Jawa Tengah,1054
6/6/2022,Jawa Tengah,1079
6/7/2022,Jawa Tengah,1099
6/8/2022,Jawa Tengah,1116
6/9/2022,Jawa Tengah,1063
6/10/2022,Jawa Tengah,1084
6/11/2022,Jawa Tengah,1098
6/12/2022,Jawa Tengah,1092
6/13/2022,Jawa Tengah,1134
6/14/2022,Jawa Tengah,1226
6/15/2022,Jawa Tengah,1289
6/16/2022,Jawa Tengah,1315
6/17/2022,Jawa Tengah,1365
6/18/2022,Jawa Tengah,1381
6/19/2022,Jawa Tengah,1428
6/20/2022,Jawa Tengah,1506
6/21/2022,Jawa Tengah,1583
6/22/2022,Jawa Tengah,1603
6/23/2022,Jawa Tengah,1598
6/24/2022,Jawa Tengah,1662
6/25/2022,Jawa Tengah,1740
6/26/2022,Jawa Tengah,1917
6/27/2022,Jawa Tengah,2092
6/28/2022,Jawa Tengah,2266
6/29/2022,Jawa Tengah,2421
6/30/2022,Jawa Tengah,2524
7/1/2022,Jawa Tengah,2587
7/2/2022,Jawa Tengah,2632
7/3/2022,Jawa Tengah,2716
7/4/2022,Jawa Tengah,2761
7/5/2022,Jawa Tengah,2904
7/6/2022,Jawa Tengah,2956
7/7/2022,Jawa Tengah,3041
7/8/2022,Jawa Tengah,3171
7/9/2022,Jawa Tengah,3261
7/10/2022,Jawa Tengah,3213
7/11/2022,Jawa Tengah,3263
7/12/2022,Jawa Tengah,3298
7/13/2022,Jawa Tengah,3368
7/14/2022,Jawa Tengah,3418
7/15/2022,Jawa Tengah,3541
7/16/2022,Jawa Tengah,3666
7/17/2022,Jawa Tengah,3546
7/18/2022,Jawa Tengah,3562
7/19/2022,Jawa Tengah,3419
7/20/2022,Jawa Tengah,3437
7/21/2022,Jawa Tengah,3443
7/22/2022,Jawa Tengah,3562
7/23/2022,Jawa Tengah,3667
7/24/2022,Jawa Tengah,3651
7/25/2022,Jawa Tengah,3732
7/26/2022,Jawa Tengah,3698
7/27/2022,Jawa Tengah,3783
7/28/2022,Jawa Tengah,3740
7/29/2022,Jawa Tengah,3764
7/30/2022,Jawa Tengah,3536
7/31/2022,Jawa Tengah,3573
8/1/2022,Jawa Tengah,3402
8/2/2022,Jawa Tengah,3307
8/3/2022,Jawa Tengah,3282
8/4/2022,Jawa Tengah,3242
8/5/2022,Jawa Tengah,3221
8/6/2022,Jawa Tengah,3142
8/7/2022,Jawa Tengah,3171
8/8/2022,Jawa Tengah,3180
8/9/2022,Jawa Tengah,3255
8/10/2022,Jawa Tengah,3164
8/11/2022,Jawa Tengah,3157
8/12/2022,Jawa Tengah,3185
8/13/2022,Jawa Tengah,3272
8/14/2022,Jawa Tengah,3402
8/15/2022,Jawa Tengah,3468
8/16/2022,Jawa Tengah,3568
8/17/2022,Jawa Tengah,3557
8/18/2022,Jawa Tengah,3570
8/19/2022,Jawa Tengah,3563
8/20/2022,Jawa Tengah,3591
8/21/2022,Jawa Tengah,3582
8/22/2022,Jawa Tengah,3523
8/23/2022,Jawa Tengah,3641
8/24/2022,Jawa Tengah,3691
8/25/2022,Jawa Tengah,3744
8/26/2022,Jawa Tengah,3703
8/27/2022,Jawa Tengah,3707
8/28/2022,Jawa Tengah,3801
8/29/2022,Jawa Tengah,3881
8/30/2022,Jawa Tengah,3922
8/31/2022,Jawa Tengah,3993
9/1/2022,Jawa Tengah,4058
9/2/2022,Jawa Tengah,4091
9/3/2022,Jawa Tengah,4180
9/4/2022,Jawa Tengah,4245
9/5/2022,Jawa Tengah,4208
9/6/2022,Jawa Tengah,4249
9/7/2022,Jawa Tengah,4344
9/8/2022,Jawa Tengah,4427
9/9/2022,Jawa Tengah,4536
9/10/2022,Jawa Tengah,4761
9/11/2022,Jawa Tengah,5128
9/12/2022,Jawa Tengah,5352
9/13/2022,Jawa Tengah,5518
9/14/2022,Jawa Tengah,5439
9/15/2022,Jawa Tengah,5438
9/16/2022,Jawa Tengah,5640
9/17/2022,Jawa Tengah,5687
9/18/2022,Jawa Tengah,5457
9/19/2022,Jawa Tengah,5285
9/20/2022,Jawa Tengah,5279
9/21/2022,Jawa Tengah,5176
9/22/2022,Jawa Tengah,4956
9/23/2022,Jawa Tengah,4822
9/24/2022,Jawa Tengah,4542
9/25/2022,Jawa Tengah,4589
9/26/2022,Jawa Tengah,4727
9/27/2022,Jawa Tengah,4864
9/28/2022,Jawa Tengah,4959
9/29/2022,Jawa Tengah,4962
9/30/2022,Jawa Tengah,4987
10/1/2022,Jawa Tengah,5094
10/2/2022,Jawa Tengah,5218
10/3/2022,Jawa Tengah,5385
10/4/2022,Jawa Tengah,5513
10/5/2022,Jawa Tengah,5673
10/6/2022,Jawa Tengah,5725
10/7/2022,Jawa Tengah,5834
10/8/2022,Jawa Tengah,5902
10/9/2022,Jawa Tengah,6094
10/10/2022,Jawa Tengah,6217
10/11/2022,Jawa Tengah,6322
10/12/2022,Jawa Tengah,6274
10/13/2022,Jawa Tengah,6440
10/14/2022,Jawa Tengah,5819
10/15/2022,Jawa Tengah,4040
